id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
1034377	True	06.22.00	2.2.6	Диагностическая система для вызванных патогеном helicobacter pylori заболеваний желудочно-кишечного тракта	Попов Евгений Эдуардович	Виткин Владимир Владимирович	20.11.2023	21.12.2023	31
226864	True	08.19.00	05.04.03	Моделирование процессов тепломассопереноса и фильтрации в адиабатическом увлажнителе	Хилдаяти Анниса	Цыганков Александр Васильевич	06.11.2020	16.12.2020	40
224856	True	03.19.00	05.13.01	Итеративный метод синтеза адаптивных наблюдателей для нелинейных систем	Синетова Мадина Мансуровна	Пыркин Антон Александрович	19.10.2020	19.11.2020	31
468015	True	05.19.00	1.3.6	Разработка дизайна и исследование свойств фотонных структур для повышения эффективности экситон-фотонного и магнон-фотонного взаимодействия	Колодный Станислав Александрович	Иорш Иван Владимирович	15.11.2021	16.12.2021	31
1032404	False	11.22.00	2.2.9	Совершенствование технологических процессов изготовления пьезоэлектрических датчиков вибрации	Юдин Семен Алексеевич	Андреев Юрий Сергеевич	17.11.2023	20.12.2023	33
728866	True	07.22.00	1.3.11	Тепловые и оптические характеристики торцевых полупроводниковых лазеров ingaas/gaas/algaas на основе связанных волноводов	Бекман Артем Александрович	Паюсов Алексей Сергеевич	21.10.2022	23.11.2022	33
230906	True	05.19.00	01.04.03	Исследование фотонных топологических изоляторов на основе диэлектрических структур в микроволновом частотном диапазоне	Жирихин Дмитрий Васильевич	Слобожанюк Алексей Петрович	13.11.2020	15.12.2020	32
472204	True	09.19.00	05.18.07	Исследование функционально-технологических свойств ресвератрола и его применение для обогащения продуктов питания	Солодовникова Малика Саяфатовна	Баланов Петр Евгеньевич	19.11.2021	20.12.2021	31
229062	True	06.19.00	05.11.07	Формирование и анализ изображений микроструктуры объектов в оптической когерентной томографии с перестраиваемой длиной волны и линейным полем освещения	Пименов Алексей Юрьевич	Гуров Игорь Петрович	15.06.2021	12.10.2021	119
306521	True	04.19.00	05.13.11	Разработка и исследование алгоритмов устранения визуальной избыточности на основе кодирующих преобразований	Доан Бан Тиен	Тропченко Андрей Александрович	26.03.2021	27.04.2021	32
745504	True	06.22.00	2.2.6	Исследование метода комплексирования изображений в оптико-электронном комплексе для эрозионного контроля лопаточного аппарата паровых турбин	Ахмеров Артём Харисович	Васильев Александр Сергеевич	18.11.2022	20.12.2022	32
646890	True	05.19.00	1.3.4	Разрушение симметрии эффективного потенциала в мультипольных радиочастотных ловушках	Рудый Семён Сергеевич	Рождественский Юрий Владимирович	29.07.2022	30.08.2022	32
757521	True	06.22.00	2.2.6	Разработка метода контроля составного зеркала телескопа	Сечак Евгений Николаевич	Демин Анатолий Владимирович	25.11.2022	26.12.2022	31
1025237	True	06.22.00	2.2.6	Методы восстановления оптических свойств светорассеивающих материалов	Соколов Вадим Геннадьевич	Потемин Игорь Станиславович	07.11.2023	07.12.2023	30
435076	True	02.18.00	05.13.17	Метод диаграмматической верификации онтологий на основе дескрипционной логики alc	Нгуен Нгок Тхан	Баймуратов Ильдар Раисович	24.09.2021	26.10.2021	32
180925	True	08.19.00	05.04.03	Анализ   эффективности холодильных систем с радиационным охлаждением в зависимости от климатических условий	Цой Диана Александровна	Бараненко Александр Владимирович	30.07.2020	28.10.2020	90
230313	True	05.19.00	01.04.05	Люминесцентные и фотоэлектрические свойства гибридных структур на основе наноструктурированного углерода и квантовых полупроводниковых нанокристаллов	Резник Иван Алексеевич	Орлова Анна Олеговна	03.11.2020	07.12.2020	34
236664	True	03.19.00	05.13.01	Синтез адаптивного   управления   линейными   системами по выходной  переменной  на  базе  алгоритмов  адаптации с улучшенной сходимостью	Беляев Михаил Евгеньевич	Герасимов Дмитрий Николаевич	16.11.2020	17.12.2020	31
10319507	True	06.22.00	2.2.6	Метод формирования волоконных устройств на основе явления движущегося оптического разряда	Конин Юрий Александрович	Петров Андрей Анатольевич	11.11.2024	12.12.2024	31
206708	True	04.19.00	05.13.11	Технология интеллектуальной организации процесса выполнения неоднородных композитных приложений в глобальной вычислительной среде	Мельник Михаил Алексеевич	Насонов Денис Александрович	30.10.2020	30.11.2020	31
236582	True	05.19.00	01.04.05	Влияние фотоактиничного излучения на структуру и свойства молекулярных со-кристаллов аминопиридинового ряда	Жевайкин Кирилл Евгеньевич	Фокина Мария Ивановна	20.11.2020	21.12.2020	31
235276	True	04.19.00	05.13.11	Методы и алгоритмы эффективной визуализации моделей трехмерных сцен на многопроцессорных рабочих станциях	Жданов Андрей Дмитриевич	Жданов Дмитрий Дмитриевич	20.11.2020	21.12.2020	31
18764947	True	07.22.00	1.3.8	Улучшение структурной стабильности и оптических свойств тонких пленок и микродисков на основе галогенидных перовскитов	Татаринов Дмитрий Андреевич	Пушкарев Анатолий Петрович	28.01.2025	28.02.2025	31
734443	True	11.22.00	2.2.8	Совершенствование методов и алгоритмов математической обработки спектральных данных в исследованиях биологических материалов	Бойченко Екатерина Сергеевна	Кирсанов Дмитрий Олегович	10.11.2022	14.12.2022	34
14075970	True	12.22.00	1.4.4	Механизмы супрамолекулярных сборок азотсодержащих гетероциклов и создание фотоактивных систем на их основе	Тимралиева Александра Акбулатовна	Скорб Екатерина Владимировна	19.11.2024	19.12.2024	30
224312	True	05.19.00	01.04.05	Создание фотонных структур методом лазерной литографии и их спектроскопические исследования	Синельник Артем Дмитриевич	Лимонов Михаил Феликсович	02.11.2020	03.12.2020	31
124815	True	10.19.00	05.17.06	Создание акриловых гидрогелевых сорбентов для повышения урожайности почв	Байдакова Марина Викторовна	Успенская Майя Валерьевна	18.11.2019	19.12.2019	31
473294	True	05.19.00	1.3.6	Оптические резонансы в наноструктурах для модифицирования радиационной рекомбинации в галогенидных перовскитах	Берестенников Александр Сергеевич	Макаров Сергей Владимирович	19.11.2021	20.12.2021	31
126148	True	05.19.00	01.04.05	Исследование структурно-люминесцентных свойств синтетических микро- и наноалмазов методами рамановской и люминесцентной спектроскопии	Рунова Марианна Васильевна	Баранов Александр Васильевич	01.11.2019	19.12.2019	48
230535	True	07.19.00	01.04.10	Исследование свойств эпитаксиальных пленок и объемных кристаллов нитрида и оксида галлия для создания приборов силовой электроники	Кремлева Арина Валерьевна	Бугров Владислав Евгеньевич	30.10.2020	02.12.2020	33
229485	True	08.19.00	05.04.03	Исследование процессов вакуумно-испарительной кристаллизации при получении бинарного льда	Тазитдинов Рамиль	Коченков Николай Викторович	23.11.2020	24.12.2020	31
1019753	True	11.22.00	2.2.8	Разработка методики акустического неразрушающего контроля остаточных напряжений в специальных трубах	Алифанова Ирина Евгеньевна	Кинжагулов Игорь Юрьевич	31.10.2023	06.12.2023	36
126038	True	05.19.00	01.04.05	Круговой дихроизм поглощения света хиральными полупроводниковыми наноструктурами с винтовой симметрией	Перезябова Татьяна Павловна	Федоров Анатолий Валентинович	01.11.2019	19.12.2019	48
18756260	True	16.24.00	1.3.4	Неотражающие метаповерхности для преобразования пространственного спектра	Тумашов Максим Александрович	Глыбовский Станислав Борисович	20.11.2024	20.12.2024	30
517139	True	06.19.00	05.11.07	Разработка компенсаторов волнового фронта на основе поверхностей свободной формы для контроля асферических зеркал	Мазур Яна Вадимовна	Вознесенская Анна Олеговна	28.01.2022	28.02.2022	31
